name,category,catalog_group,catalog_file,entry_anchor,availability,stat_baseline,cr,size,creature_type,ac,hp,speed,str,dex,con,int,wis,cha,habitat,elyndrian_regions,campaign_status,magical_dependency,dead_zone_behavior,recommended_party_levels,suitable_gate_city,strengths_advantages,weaknesses_disadvantages,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,senses,verification,physical_viability,connection_severance,dm_adjudication
Abominable Yeti,Natural Wildlife/Cold-Region Predators,natural_ecology,catalog/natural_ecology/Cold_Region_Predators.md,abominable-yeti,5e and 5.5e,Monster Manual (2014),9,Huge,Monstrosity,15,137,"40 ft., climb 40 ft.",24,10,22,9,13,9,"Arctic, mountain",Remote Northern Mountain peaks and sealed valleys,"Natural, exceptional",Moderate,Cold and gaze effects are suppressed; physical power remains.,8-11,Ironforge,Cold immunity; Snow Camouflage; Chilling Gaze; huge Strength/HP,Fear of Fire; low Dexterity; obvious enormous target,None,None,Cold,None,Darkvision 60 ft.; Passive Perception 15,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Adult Kruthik,Natural Wildlife/Venomous Animals and Large Insects,natural_ecology,catalog/natural_ecology/Venomous_Animals_and_Large_Insects.md,adult-kruthik,5e,Mordenkainen Presents: Monsters of the Multiverse,2,Medium,Monstrosity,18,39,"40 ft., burrow 20 ft., climb 40 ft.",15,16,15,7,12,8,"Desert, underground","Established mine, warehouse, or tunnel infestation",Planar invasive,None,Functions normally.,2-4,Ravensport; Ironforge,High AC; Pack Tactics; Tunneler; melee and ranged spikes; strong Perception,Poor Intelligence and Charisma; hive behavior is predictable,None,None,None,None,Darkvision 60 ft.; Tremorsense 60 ft.; Passive Perception 15,Supplement baseline verified from D&D Beyond reference,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Air Elemental,Planar and Escaped/Major Elemental Gate Creatures,gate_incursions,catalog/gate_incursions/Major_Elemental_Gate_Creatures.md,air-elemental,5e and 5.5e,Basic Rules (2014),5,Large,Elemental,15,90,fly 90 ft. (hover),14,20,14,6,10,6,Elemental planes,Major gate chambers; industrial or environmental breach,Severe planar elemental,Extreme,Magical body collapses into ordinary moving air; exact timing is set by the DM.,5-8,All,Exceptional flight and Dexterity; whirlwind; many condition immunities,No stable body in a dead zone; limited ranged options,None,"Lightning, Thunder; Bludgeoning, Piercing, Slashing from nonmagical attacks",Poison,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious",Darkvision 60 ft.; Passive Perception 10,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Summoning, binding, creator, and planar command links are severed immediately.",DM decides collapse timing and core-radius interaction.
Animated Armor,Planar and Escaped/Magically Animated Constructs and Objects,constructs_and_animated,catalog/constructs_and_animated/Magically_Animated_Constructs_and_Objects.md,animated-armor,5e and 5.5e,Basic Rules (2014),1,Medium,Construct,18,33,25 ft.,14,11,13,1,3,1,"Constructed, urban, facility",Ravensport trade; Ironforge workshops; Faerindel estates; gate facilities,Magically animated construct,Extreme,Animation ceases and it becomes an ordinary suit of armor. Exact timing is set by the DM.,1-3,All,Very high AC; False Appearance; many immunities; two attacks,Poor mental scores; Antimagic Susceptibility; no ranged attack,None,None,"Poison, Psychic","Blinded, Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",Blindsight 60 ft. (blind beyond); Passive Perception 6,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Creator, amulet, telepathic, command, and stored-spell connections are severed immediately.",DM decides shutdown timing and whether a core radius sustains or restores animation.
Animated Flying Sword,Planar and Escaped/Magically Animated Constructs and Objects,constructs_and_animated,catalog/constructs_and_animated/Magically_Animated_Constructs_and_Objects.md,animated-flying-sword,5e and 5.5e,Basic Rules (2014),1/4,Small,Construct,17,17,"0 ft., fly 50 ft. (hover)",12,15,11,1,5,1,"Constructed, urban, facility",Ravensport trade; Ironforge workshops; Faerindel estates; gate facilities,Magically animated construct,Extreme,Animation ceases and it becomes an ordinary sword. Exact timing is set by the DM.,1-2,All,High AC; hover flight; False Appearance; many immunities,Low HP and mental scores; Antimagic Susceptibility; inert in dead zones,None,None,"Poison, Psychic","Blinded, Charmed, Deafened, Frightened, Paralyzed, Petrified, Poisoned",Blindsight 60 ft. (blind beyond); Passive Perception 7,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Creator, amulet, telepathic, command, and stored-spell connections are severed immediately.",DM decides shutdown timing and whether a core radius sustains or restores animation.
Animated Rug of Smothering,Planar and Escaped/Magically Animated Constructs and Objects,constructs_and_animated,catalog/constructs_and_animated/Magically_Animated_Constructs_and_Objects.md,animated-rug-of-smothering,5e and 5.5e,Basic Rules (2014),2,Large,Construct,12,33,10 ft.,17,14,10,1,3,1,"Constructed, urban, facility",Ravensport trade; Ironforge workshops; Faerindel estates; gate facilities,Magically animated construct,Extreme,Animation ceases and it becomes an ordinary rug. Exact timing is set by the DM.,2-4,All,Smothering restraint; damage transfer; False Appearance; immunities,Slow; low HP/AC; Antimagic Susceptibility,None,None,"Poison, Psychic","Blinded, Charmed, Deafened, Frightened, Paralyzed, Petrified, Poisoned",Blindsight 60 ft. (blind beyond); Passive Perception 6,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Creator, amulet, telepathic, command, and stored-spell connections are severed immediately.",DM decides shutdown timing and whether a core radius sustains or restores animation.
Ankheg,"Natural Wildlife/Cavern, Mine and Burrowing Predators",natural_ecology,catalog/natural_ecology/Cavern_Mine_and_Burrowing_Predators.md,ankheg,5e and 5.5e,Basic Rules (2014),2,Large,Monstrosity,14,39,"30 ft., burrow 10 ft.",17,11,13,1,13,6,"Forest, grassland",Southern plains; farmland; forest margins; Lake Aelorin roads,Natural,None,Functions normally.,2-4,Faerindel; Ravensport,Burrowing ambush; tremorsense; grappling bite; acid spray,Low Intelligence and Charisma; reduced AC while prone/belly exposed,None,None,None,None,Darkvision 60 ft.; Tremorsense 60 ft.; Passive Perception 11,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Assassin Vine,"Natural Ecology/Physical Fungi, Myconids, and Predatory Plants",natural_ecology,catalog/natural_ecology/Physical_Fungi_Myconids_and_Predatory_Plants.md,assassin-vine,5e,Tomb of Annihilation,3,Large,Plant,13,85,"5 ft., climb 5 ft.",18,10,16,1,10,1,"Forest, swamp",Warm southern forests; marshes; escaped botanical collections,Rare natural predatory plant or escaped specimen,None or Low,Physical roots and constriction function normally; suppress only explicitly magical effects.,3-5,Faerindel; Ravensport,Long constricting reach; camouflage; controls nearby vegetation,Extremely slow; very low Intelligence and Charisma,None,None,None,None,Blindsight 30 ft.; Passive Perception 10,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,None by default.,DM determines encounter-specific exceptions.
Awakened Shrub,Planar and Escaped/Magically Sustained Plants and Blights,planar_and_magical,catalog/planar_and_magical/Magically_Sustained_Plants_and_Blights.md,awakened-shrub,Both,Basic Rules (2014),0,Small,Plant,9,10,20 ft.,3,8,11,10,10,6,"Forest, garden",Faerindel gardens; druidic sites; estates; research facilities,Magically awakened individual,Extreme,Magical life and animation cease; the creature withers and dies. Exact death timing is set by the DM.,Varies by CR,Faerindel,False Appearance; can speak and act independently outside dead zones,"Very low AC, HP, and physical ability scores",Fire,Piercing,None,None,Blindsight or normal senses as published; verify selected version.,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Creator, awakening, tree-bond, or animating connections are severed immediately.",DM decides death timing and whether a core radius can sustain or restore it.
Awakened Tree,Planar and Escaped/Magically Sustained Plants and Blights,planar_and_magical,catalog/planar_and_magical/Magically_Sustained_Plants_and_Blights.md,awakened-tree,Both,Basic Rules (2014),2,Huge,Plant,13,59,20 ft.,19,6,15,10,10,7,"Forest, garden",Faerindel sacred groves; estate boundaries; forest roads,Magically awakened individual,Extreme,Magical life and animation cease; the creature withers and dies. Exact death timing is set by the DM.,Varies by CR,Faerindel,High Strength and reach; False Appearance; useful guardian,Very low Dexterity; vulnerable to fire; dies in dead zones,Fire,"Bludgeoning, Piercing",None,None,Blindsight or normal senses as published; verify selected version.,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Creator, awakening, tree-bond, or animating connections are severed immediately.",DM decides death timing and whether a core radius can sustain or restore it.
